VARIABLE	VAR.DESC	VAR.VAL	Value	CATEGORY
CMSEQ	Subject takes comcomitant drug treatment(s)	Number of different drug treatments		num
CMSTDT	Duration of comcomitant drug treatment(s)	years		num
TONSILLECTOMY	Cat:10:Tonsillectomy	0=No 1=Yes	0	cat
APPENDICECTOMY	Cat:10:Appendicectomy	0=No 1=Yes	0	cat
OTHER	Cat:10:Other	0=No 1=Yes	0	cat
MEASLES	Cat:11:Measles	0=No 1=Yes NA=missing data	0	cat
HEPATITISB	Cat:11:Hepatitis B	0=No 1=Yes NA=missing data	1	cat
FLU	Cat:11:Flu	0=No 1=Yes	0	cat
OTHER	Cat:11:Other	0=No 1=Yes	0	cat
MEASLESMH	Cat:8:Measles	0=No 1=Yes/ antecedent	0	cat
RUBELLAMH	Cat:8:Rubella	0=No 1=Yes/ antecedent NA=missing data	0	cat
CHICKENPOXMH	Cat:8:Chicken pox	0=No 1=Yes/ antecedent 2=Yes/ current w/o treatment	0	cat
MUMPSMH	Cat:8:Mumps	0=No 1=Yes/ antecedent NA=missing data	0	cat
OTHERMH	Cat:8:Other	0=No 1=Yes/ antecedent	0	cat
SURGICAL.INT	Surgical interventions (Cat:10)	0=No 1=Yes	0	cat
MUMPS	Vaccination against mumps	0=No 1=Yes NA=missing data	0	cat
MUMPS	Vaccination against mumps	0=No 1=Yes NA=missing data	1	cat
MUMPS	Vaccination against mumps	0=No 1=Yes NA=missing data	NA	cat
RUBELLA	Vaccination against rubella	0=No 1=Yes NA=missing data	0	cat
RUBELLA	Vaccination against rubella	0=No 1=Yes NA=missing data	1	cat
RUBELLA	Vaccination against rubella	0=No 1=Yes NA=missing data	Na	cat
CONCEN	Difficulty concentrating on things like reading the newspaper or watching the television/ last 2 weeks	0/ 3/ 8/ 14 days the last two weeks		num
DIFF	Difficulties falling asleep or staying asleep/ or sleeping too much/ last 2 weeks	0/ 3/ 8/ 14 days the last two weeks		num
DORDIF	Does the subject often find it difficult to fall asleep or to remain asleep?	0/1/2/3 = Never/ Sometimes/ occasionally/ most of the time/ all the time	0	cat
DORDIF	Does the subject often find it difficult to fall asleep or to remain asleep?	0/1/2/3 = Never/ Sometimes/ occasionally/ most of the time/ all the time	1	cat
DORDIF	Does the subject often find it difficult to fall asleep or to remain asleep?	0/1/2/3 = Never/ Sometimes/ occasionally/ most of the time/ all the time	2	cat
